ID,英単語,日本語訳,フレーズ(英語),フレーズ(日本語),文中の英単語,文中の日本語,備考
791,correspondence,名：(手紙やメールでの)やり取り,in the previous correspondence,前回のやり取り,correspondence,やり取り,動：correspond（一致する・手紙でやり取りする） 形：corresponding（〜に対応する・付随する） 副：correspondingly（〜に応じて・付随して） 関：correspondent（特派員）
792,intentionally,副：意図的に,intentionally delay payments,意図的に支払いを遅らせる,intentionally,意図的に,名：intention（意図）を持っている様子を指す。形：intentional（意図的な） 類：deliberately / purposely（わざと・故意に）
793,enforce,動：施行する・実行する・強制する,enforce a new policy,新しい規則を施行する,enforce,施行する,規則や法律に force（力）で従わせるイメージ。
794,compartment,名：一区画,in the overhead compartment,頭上の収納スペース,compartment,一区画,区切られたスペースのことで、電車や飛行機の頭上にある荷物の収容スペースを指す表現として主にパート4に登場する。
795,strive,動：懸命に努力する,strive to cut costs,コスト削減のために懸命に努力する,strive,懸命に努力する,TOEICの世界には、困難に直面するとすぐに投げ出したりあきらめたりする会社や個人は存在しない。
796,eloquently,副：雄弁に,speak eloquently,雄弁に話す,eloquently,雄弁に,自分の考えや意見をうまく言葉で表現すること。形：eloquent（雄弁な） 名：eloquence（雄弁さ）
797,notable,形：注目すべき・有名な,a notable feature,注目すべき特徴,notable,注目すべき,be notable for（〜で有名な）も重要表現。
798,predecessor,名：前任者・前機種,different from the predecessor,前任者と異なる,predecessor,前任者,precede（先行する）人やモノを指す。反：successor（後継者・後継モデル）
799,hourly,形：時間給の・1時間ごとの,hourly workers,時間給の労働者,hourly,時間給の,「1時間の長さの」を意味する hourlong との区別も重要。例：an hourlong drama（1時間ドラマ）・an hourly wage（時間給）
800,outfit,動：装備する 名：ひとそろいの服,The kitchen is outfitted with new appliances.,キッチンには新しい電化製品が装備されています。,outfitted,装備されています,be outfitted with（〜を装備している）の形で押さえる。類：be equipped with（〜を装備している）
801,indicator,名：指標,a good indicator of success,成功の良い指標,indicator,指標,何かをindicate（示す）モノの意味。形：indicative（指標となる）
802,lapse,名：不備・過失・時の経過 動：期限が切れる・時が過ぎる,a security lapse,安全面の不備,lapse,不備,動詞で「（契約等が）終わる」の意味でも使われる。例：Your membership will lapse on March 31.（あなたの会員資格は3月31日で終わります）
803,token,名：印,as a token of our appreciation for,〜への我々の感謝の印として,token,印,パート5・6で何度も出題されている重要表現。前置詞のforまでをフレーズで押さえよう。
804,subsidiary,名：子会社,a subsidiary of a Japanese company,日本企業の子会社,subsidiary,子会社,大きな会社（親会社）の下にある会社のこと。
805,plumber,名：配管工,call a plumber,配管工に電話する,plumber,配管工,TOEICの世界では、なぜかしばしば水道管から水漏れが発生し、その際必ずplumberが登場する。なお、plumberのbは発音しないので、発音に注意。
806,on-site,形：社内の・現場の,The company has an on-site childcare center.,会社には社内の保育所があります。,on-site,社内の,反：off-site（社外の・現場から離れた）
807,submission,名：提出物・提出,hundreds of submissions from the readers,読者からの何百もの提出物,submissions,提出物,提出（submit）すること、あるいは、提出されたモノを指す名詞。TOEICでは、読者からの便りや投稿、コンテストへの応募作品を指すケースが多い。
808,landmark,名：歴史建造物・目印・重要な出来事,The tower is the town's landmark.,その塔は町の名所です。,landmark,名所,landmarkは観光名所になっている歴史建造物、の意味が重要。パート4のガイドツアーやパート7の記事に出る。
809,wildlife,名：野生動物,a wildlife photographer,野生動物の写真家,wildlife,野生動物,パート7の書評や人物の紹介で出る。ちなみに、TOEICの世界では、「銀行の歴史」「乗り物の歴史（ボート編）」といった、あまり読む気をそそられない本がしばしば書評で取り上げられる。
810,apprentice,名：見習い・実習生,an apprentice technician,技術者見習い,apprentice,見習い,「彼は見習いの技術者でスタートし、役員まで上り詰めました」といったパート4の人物紹介で出る単語。
811,premier,形：最高の・第1位の,one of Tokyo's premier restaurants,東京で最高のレストランの一つ,premier,最高の,イングランドのサッカーリーグの1部は「プレミアリーグ」と呼ばれる。動：premiere（初日・初演する） 例：the world premiere（世界初公演）
812,intensive,形：集中的な,a three-day intensive training seminar,3日間の集中的な研修,intensive,集中的な,新入社員研修等で使われる表現。
813,amendment,名：改正・修正,make amendments to the contract,契約書に修正を加える,amendments,修正,カタカナ語の「アメンド」は、「修正、訂正」の意味で、貿易実務等で使われる。動：amend（修正する） 同：change（変更）・modification（修正）・adjustment（調整）
814,respectively,副：それぞれ,"Tex and Masaya, 16 and 18, respectively.",テックスとマサヤ、それぞれ16歳と18歳,respectively,それぞれ,パート7では「それぞれ」が何を指しているのかを必ずチェックすること。ここでは、Tex=16、Masaya=18。
815,fabric,名：生地・織物,check fabric samples,生地サンプルをチェックする,fabric,生地,同：textile（織物） 例：textile industry（繊維業界）
816,catering,名：仕出し・出前・ケータリング,catering service,仕出しサービス,catering,仕出し,イベントに飲食物を提供するサービスのこと。動詞のcater（仕出しサービスを提供する）と合わせてLRのどちらでも出る。
817,furnished,形：家具付きの,a fully furnished room,完全に家具が付いた部屋,furnished,家具が付いた,furniture（家具）が付いた部屋のこと。不動産の広告で出る。
818,periodical,名：定期刊行物,publish a periodical,定期刊行物を出版する,periodical,定期刊行物,periodicalは、一定のperiod（期間）ごとに発行される専門誌のこと。
819,intact,形：傷がない,Everything arrived intact.,すべてが無傷で届いた。,intact,無傷で,パート7の引っ越し・配送関連の文書で出る。
820,duration,名：継続期間,for the duration of the event,イベントの期間中,duration,期間,for the duration of（〜が続いている間）のフレーズで押さえる。
821,diagnosis,名：診断,receive a medical diagnosis,医療診断を受ける,diagnosis,診断,動詞のdiagnose（診断する）も重要。形：diagnostic（診断の）
822,surpass,動：超える,surpass last year's sales,去年の売上を超える,surpass,超える,sur（上）をpass（通る）が語源。同：surface（上面→表面）・surcharge（上の料金→追加料金） 類：exceed（超える）
823,contractor,名：請負業者・契約業者,a construction contractor,建設請負業者,contractor,請負業者,contractorは、契約（contract）を結んで業務を請け負う業者のこと。カタカナ語にもなっている「ゼネコン」はgeneral contractor（総合建設請負業者）の略。
824,turnover,名：離職率,staff turnover,スタッフの離職率,turnover,離職率,TOEICの世界には、離職率の高いブラック企業は存在しない。
825,applicable,形：適用される,The rule is applicable to all employees.,その規則は全社員に適用されます。,applicable,適用されます,動詞のapplyについては多義語のページ参照。
826,municipal,形：市の・市営の,the municipal government,市政府,municipal,市,文脈によって「市の」「町の」「市営の」「町営の」といった意味になる。
827,inactive,形：怠惰な・活動していない,an inactive lifestyle,怠惰なライフスタイル,inactive,怠惰な,activeではないこと。パート7の正解のキーワードで出たことがある。
828,tailor,動：(ニーズや目的に合うように)合わせる・調整する,tailor services to clients' needs,顧客のニーズにサービスを合わせる,tailor,合わせる,「テーラーメイド」のシャツは個人の体形や希望に合わせて仕立てたシャツのこと。
829,clerical,形：事務の・事務職の,clerical duties,事務の仕事,clerical,事務の,求人広告の職務内容で出る。
830,constraint,名：制約,due to time constraints,時間に制約があるため,constraints,制約,同：budget constraints（予算の制約）
831,prestigious,形：権威のある・誉れ高い,a prestigious title,権威のある肩書,prestigious,権威のある,「TOEIC担当専務執行役員」のようにいかにも権威が感じられる肩書のこと。
832,entrepreneur,名：起業家,a young entrepreneur,若き起業家,entrepreneur,起業家,「アントレプレナー」とカタカナ語にもなっている。関：venture（新事業）
833,adverse,形：良くない・不利な・逆の,adverse health effects,健康面への良くない影響,adverse,良くない,副：adversely（逆に・不利に）
834,designated,形：指定された・指名された,a designated parking area,指定の駐車区域,designated,指定の,「駐車場が工事中なので、社員は隣のビルの指定の駐車スペースに車を止めてください」といったパート4のアナウンス等で出る。ちなみに、野球のDH（指名打者）はdesignated hitterの略。
835,advocate,名：提唱者・支持者 動：提唱する,an advocate for energy efficiency,省エネの提唱者,advocate,提唱者,動詞でも出る。例：The CEO advocates for energy efficiency.（そのCEOは省エネを提唱している）
836,justification,名：正当化の理由・正当化,justification for the extra fee,追加料金の正当な理由,justification,正当な理由,「値段が高いのは質がいいからです」等、何かをjustify（正当化する）理由のこと。類義語のrationale（論理的根拠）も出題例がある。
837,authentic,形：本物の,authentic works of art,本物の芸術作品,authentic,本物の,「伝統に従った本格的な」の意味もあり、authentic Japanese food（本物の日本料理）といった形で使われる。
838,reorganization,名：組織替え・業務再編,a major reorganization,大きな組織替え,reorganization,組織替え,TOEICの世界では、会社社長、編集長、医師や弁護士といった社会的地位の高いポジションに女性が就いているケースが非常に多い。
839,discontinued,形：(製造・販売が)終了した,a discontinued appliance,製造が終了した電化製品,discontinued,製造が終了した,dis（not）＋continue（継続）で「生産や販売の継続を止める」の意味。
840,optimistic,形：楽観的な,cautiously optimistic about,〜について慎重ながらも楽観的な,optimistic,楽観的な,類：hopeful（希望に満ちた） 関：optimist（楽観主義者）
841,precaution,名：予防策・予防措置,as a precaution,予防措置として（念のため）,precaution,予防措置,pre（前）もってcaution（注意）すること。同：take precautions（予防策を講じる）
842,proceeds,名：収益,The proceeds will go to charity.,収益は慈善活動に回されます。,proceeds,収益,チャリティイベントの文書の必須語。
843,interact,動：交流する,interact with colleagues,同僚と交流する,interact,交流する,形：interactive（双方向の） 例：an interactive game（インタラクティブゲーム：画面と双方向でやり取りするゲームのこと）
844,array,名：大量・多数,an array of books,ズラリと並んだ本,array,ズラリと並んだ,an array ofは、特定のタイプのものがズラリと並んでいる様子を示す表現。
845,fragile,形：壊れやすい・はかない,fragile items,壊れやすいモノ,fragile,壊れやすい,Life is fragile.（人生は、はかないものだ—Steve Jobsの言葉）
846,persistence,名：粘り強さ,persistence in job search,仕事探しでの粘り強さ,persistence,粘り強さ,TOEICの世界では、就活で失敗する人は存在しない。形：persistent（粘り強い・継続的な）
847,disregard,動：無視する,Please disregard my previous e-mail.,この前のメールは無視してください。,disregard,無視して,類：ignore（無視する）
848,integrate,動：統合する・まとめる,Colorful illustrations are integrated with the text.,カラフルなイラストが文字と融合している。,integrated,融合している,より高い効果を得るために、2つ以上のモノをまとめる、あるいは中に組み込むこと。
849,automated,形：自動化された,an automated message,自動化されたメッセージ,automated,自動化された,電話等の自動応答メッセージのこと。関：ATM（Automated Teller Machine：現金自動預け払い機）
850,enroll,動：登録する・入会する・入学する,enroll in an aerobics class,エアロビクスのクラスに入る,enroll,入る,学校やコースに正式に入ること。名：enrollment（入会・登録・登録者数） 例：high enrollment（多数の登録者数）
851,malfunction,名：故障 動：故障する,a machine malfunction,機械の故障,malfunction,故障,malの語源はbad。「マルな（のに）故障」と語呂合わせで覚えるのも手。
852,ongoing,形：進行中の・続いている,an ongoing project,進行中のプロジェクト,ongoing,進行中の,going on（続いている）こと。例：ongoing negotiations（進行中の交渉）
853,medication,名：薬,a cold medication,風邪薬,medication,薬,TOEICの世界には、複雑な病名や、生死にかかわる病気は存在しない。あるのは「風邪」「発熱」「運動不足」程度である。類：medicine / drug（薬）
854,amenity,名：生活を便利に(楽しく)するもの,amenities such as gyms and swimming pools,ジムやプールといった娯楽施設,amenities,娯楽施設,文脈によってさまざまな意味になるが、TOEICでは主に、お客様の宿泊を快適にするためのホテル内の施設や装備品の意味で出る。
855,observance,名：行事・順守,in observance of the national holiday,国民の休日の行事として,observance,行事,法律や伝統に従うこと。あるいはそれらに従って行われることを指す。動：observe（観察する・従う）
856,quota,名：ノルマ・割り当て,a sales quota,売上ノルマ,quota,売上ノルマ,同：a production quota（生産ノルマ）
857,interpersonal,形：対人の・人と人との間の,interpersonal skills,対人スキル,interpersonal,対人,inter（間）＋person（人）から、人にうまく接するスキルを指す。求人広告の必要条件で出る。
858,endorse,動：推薦する・支持する・裏書きする,This product is endorsed by celebrities.,この製品は有名人の推薦を受けている。,endorsed,推薦を受けている,広告で推薦すること。「(計画や候補者等を)正式に承認する・支持する」「小切手に裏書きする」の意味もある。
859,anonymous,形：匿名の,an anonymous donor,匿名の寄贈者,anonymous,匿名の,匿名でお金を寄付する人のこと。東日本大震災でも、「伊達直人」をはじめ、多数のanonymous donorsによる支援が行われた。
860,allocate,動：割り当てる,allocate sufficient budget for a project,プロジェクトに十分な予算を割り当てる,allocate,割り当てる,名：allocation（割り当て）
861,correspondingly,副：それに応じて,lower costs and correspondingly higher profits,コスト削減とそれに応じた利益増,correspondingly,それに応じて,文法問題での出題例のある単語だが、意味も押さえたい。
862,emphatically,副：断固として・きっぱりと,state emphatically that,〜だときっぱりと述べる,emphatically,きっぱりと,stateがthat節を取る語法も押さえておこう。例：emphatically deny（きっぱりと否定する）
863,syndicate,動：複数の新聞や放送局に同時に配信する,a nationally syndicated radio program,全国ネットのラジオ番組,syndicated,全国ネットの,TOEICの世界のラジオ番組は、交通情報、天気予報、ニュース、対談といったまじめなものしかなく、放送事故は絶対に起きない。
864,abridged,形：要約された・短縮された,an abridged version,要約版,abridged,要約,類：summarized（要約された）
865,directory,名：名簿,the company directory,社員名簿,directory,名簿,例：a telephone directory（電話帳）・a business directory（企業名鑑）
866,facilitate,動：容易にする・促進する,facilitate a discussion,議論を促進する,facilitate,促進する,議論がうまく進むよう司会進行を務めるのが facilitator（進行役）。
867,occupancy,名：(ホテルや部屋等の)占有・占有人数,the occupancy rate of hotels,ホテルの占有率（稼働率）,occupancy,占有率,例：a single occupancy room（一人部屋）
868,premium,名：割増料金・保険料 形：最高級の,pay a premium for organic vegetables,有機野菜に割増料金を払う,premium,割増料金,「保険料」の意味もある。
869,misleading,形：誤解を招く恐れのある,The advertisement was misleading.,その広告は誤解を招く恐れがあった。,misleading,誤解を招く恐れのある,TOEICの世界では、時折、新聞記事や広告に信じられないようなミスがあり、訂正記事やおわび文が出される。
870,outing,名：外出・お出かけ,family outings,家族でのお出かけ,outings,お出かけ,パート1・7で出題例のある単語。観光やスポーツ、買い物といったレジャーのための外出を指す。
871,copyright,名：著作権,the copyright law,著作権法,copyright,著作権,同：patent（特許）
872,turnaround,名：立て直し・好転・処理時間,a turnaround plan,立て直し計画,turnaround,立て直し,悪い状況をturn around（ひっくり返す）こと。動詞でも使われる。例：turn around a company（会社を立て直す）
873,verify,動：検証する・確認する,verify the test results,実験結果を検証する,verify,検証する,名：verification（確認・検証）
874,lengthy,形：長期にわたる・冗長な,a lengthy process,長期にわたるプロセス,lengthy,長期にわたる,例：a lengthy speech（冗長なスピーチ）
875,sturdy,形：頑丈な・丈夫な,The table looks sturdy.,そのテーブルは頑丈に見える。,sturdy,頑丈に,study（調査）とつづりが似ているので注意しよう。
876,thereby,副：そうすることで・その結果,"reducing costs, thereby improving profitability",コストを削減し、そうすることで利益性を改善する,thereby,そうすることで,文法問題での出題例があるので、類義表現のthus（このようにして）と合わせて押さえる。
877,supplementary,形：追加の・補足の,supplementary charts and graphs,追加の図表,supplementary,追加の,同：additional（追加の）
878,nutritious,形：栄養のある,affordable and nutritious dishes,手ごろな値段で栄養のある料理,nutritious,栄養のある,TOEICの世界では、料理教室に通った生徒から、「担当講師の教え方が悪くて作ったパスタがまずかった」というクレームが料理学校の校長に送り付けられたことがある。名：nutrition（栄養）
879,solicit,動：求める,solicit donations,寄付を募る,solicit,募る,「人にお金や助けを求める」の意味。
880,congested,形：渋滞した,The parking lot was too congested.,駐車場は非常に渋滞していた。,congested,渋滞していた,名：congestion（渋滞・混雑） 例：traffic congestion（交通渋滞） 類：crowded（混雑した）
881,intermission,名：休憩時間,during the intermission,休憩時間中に,intermission,休憩時間,劇やコンサートの間の休憩時間のこと。
882,pointless,形：無意味な,It is pointless to discuss the matter.,その問題について話すのは意味がない。,pointless,意味がない,語彙問題での出題例がある単語。
883,oversee,動：監督する,oversee a department,部門を監督する,oversee,監督する,over（上）から see（見る）が語源。「グループの責任者として、仕事がちゃんと行われているかをチェックする」こと。類：supervise（監督する）
884,scenic,形：眺めがいい・景色の,take the scenic route,眺めがいいルートを行く,scenic,眺めがいい,類：picturesque（絵に描いたように美しい）
885,obsolete,形：すたれた・時代遅れの,become obsolete,時代遅れになる,obsolete,時代遅れ,類：out of date / outdated（時代遅れの）
886,unveil,動：発表する・公表する,unveil a new product,新商品を発表する,unveil,発表する,「veil（ベール）をはがす」こと。類：reveal（暴露する）・disclose（開示する）
887,interruption,名：中断,service interruption,サービスの中断,interruption,中断,動詞のinterrupt（割り込む・中断する）も重要。例：Sorry to interrupt.（お話し中すみません）類義語のdisruption（中断・混乱）も出題例がある。
888,rigorous,形：厳格な・厳密な,a rigorous testing process,厳格な検査工程,rigorous,厳格な,副：rigorously（厳格に）
889,sustainable,形：環境に優しい,sustainable energy,環境に優しいエネルギー,sustainable,環境に優しい,「環境に害を及ぼさずに継続できる」の意味。TOEICの世界でも、パート3・7にソーラーパネルの話題が登場する等、環境への関心が高まりつつある。
890,oversight,名：見落とし・手落ち・監視,It's an oversight on our part.,それはこちらの見落としです。,oversight,見落とし,類：overlook（見落とし）・omission（手抜き）・negligence（怠慢）
891,customarily,副：通例,The event is customarily held in April.,そのイベントは通例4月に行われている。,customarily,通例,custom（慣習）になっている様子を表す。形：customary（通例の） 類：usually（通常）
892,incur,動：(損失や罰金等を)受ける,incur a fine,罰金を受ける,incur,受ける,駐車違反で罰金を受ける等、自らの行為によって好ましくない事態を招くこと。
893,duplicate,形：複製の・二重の 動：複製を取る,a duplicate key,複製の鍵（合鍵）,duplicate,複製,名：a duplicate copy（写し）
894,terminate,動：終わらせる,terminate a contract,契約を終了させる,terminate,終了させる,「相手の人生を終わらせる」恐怖の殺し屋が映画の「The Terminator（ターミネーター）」。
895,momentum,名：勢い,gain momentum,勢いが付く,momentum,勢い,フレーズで押さえるべき表現。
896,dilute,動：薄める,dilute the paint with water,塗料を水で薄める,dilute,薄める,パート5の語彙問題での出題例がある。
897,affluent,形：裕福な,an affluent neighborhood,裕福な近隣地域,affluent,裕福な,お金持ちが集まる地域のこと。高級住宅街のイメージ。
898,retrieve,動：(PCから情報を)取り出す・取り戻す,retrieve the data,データを取り出す,retrieve,取り出す,TOEICでは、PCのトラブルでファイルやメッセージが開けない、の文脈で出る。ちなみに、「ゴールデン・レトリバー（The Golden Retriever）」は、もともと、獲物を取って戻ってくる狩猟犬だった。
899,exempt,形：免除された 動：免除する,Members are exempt from the fee.,会員は料金を免除されます。,exempt,免除されます,前置詞のfromとセットで押さえる。
900,stringent,形：非常に厳しい,stringent quality standards,厳しい品質基準,stringent,厳しい,規則や法律がvery strict（非常に厳しい）ことを示す。語彙問題で数度出題例のある重要語。副：stringently（厳しく）
E1,resident,名：住民,a local resident,地元の住民,resident,住民,
E2,survey,動/名：アンケート調査を行う/アンケート調査,conduct a survey,アンケート調査を行う,survey,アンケート調査,
E3,predict,動：予測する,predict the results,結果を予測する,predict,予測する,
E4,destination,名：目的地,a popular tourist destination,人気の観光地,destination,観光地,
E5,ensure,動：保証する・確実にする,ensure safety,安全を確保する,ensure,確保する,
E6,commute,動/名：通勤する/通勤,commute to work,通勤する,commute,通勤する,
E7,evaluate,動：評価する,evaluate a performance,業績を評価する,evaluate,評価する,
E8,feature,動/名：特徴とする/特徴,The museum features modern art.,その美術館は現代美術を特徴としている。,features,特徴としている,
E9,frequent,形：頻繁な,frequent bus services,頻繁なバスの運行,frequent,頻繁な,
E10,guarantee,動/名：保証する/保証,guarantee same-day delivery,即日配送を保証する,guarantee,保証する,
E11,implement,動：実行する・実施する,implement a new policy,新しい方針を実施する,implement,実施する,
E12,indicate,動：示す,indicate a preference,好みを指し示す,indicate,指し示す,
E13,initial,形：最初の,the initial stage,初期段階,initial,初期,
E14,inquire,動：尋ねる・問い合わせる,inquire about the product,製品について問い合わせる,inquire,問い合わせる,
E15,inspect,動：検査する,inspect a vehicle,車両を検査する,inspect,検査する,
E16,install,動：設置する・導入する,install software,ソフトウェアをインストールする,install,インストールする,
E17,maintain,動：維持する,maintain a high standard,高い基準を維持する,maintain,維持する,
E18,obtain,動：得る・取得する,obtain permission,許可を得る,obtain,得る,
E19,operate,動：操作する・運営する,operate a machine,機械を操作する,operate,操作する,
E20,organize,動：まとめる・組織する,organize a meeting,会議をまとめる,organize,まとめる,
E21,oversee,動：監督する,oversee a project,プロジェクトを監督する,oversee,監督する,
E22,participate,動：参加する,participate in a seminar,セミナーに参加する,participate,参加する,
E23,postpone,動：延期する,postpone a meeting,会議を延期する,postpone,延期する,
E24,preserve,動：保護する・保存する,preserve nature,自然を保護する,preserve,保護する,
E25,propose,動：提案する,propose a new plan,新しい計画を提案する,propose,提案する,
E26,purchase,動/名：購入する/購入,purchase an item,商品を購入する,purchase,購入する,
E27,recognize,動：認識する・認める,recognize a face,顔を認識する,recognize,認識する,
E28,recommend,動：勧める,strongly recommend,強く勧める,recommend,勧める,
E29,register,動：登録する,register for a course,コースに登録する,register,登録する,
E30,remind,動：思い出させる,remind a client,顧客に念押しする,remind,念押しする,
E31,replace,動：取り替える,replace a battery,バッテリーを交換する,replace,交換する,
E32,represent,動：代表する,represent a company,会社を代表する,represent,代表する,
E33,require,動：要求する,require experience,経験を要求する,require,要求する,
E34,reserve,動：予約する,reserve a table,席を予約する,reserve,予約する,
E35,resolve,動：解決する,resolve an issue,問題を解決する,resolve,解決する,
E36,respond,動：返答する,respond to an email,メールに返信する,respond,返信する,
E37,restrict,動：制限する,restrict access,アクセスを制限する,restrict,制限する,
E38,retain,動：保持する,retain a receipt,レシートを保管する,retain,保管する,
E39,reveal,動：明らかにする,reveal the truth,真実を明らかにする,reveal,明らかにする,
E40,review,動/名：見直す/再検討,review a document,書類を見直す,review,見直す,
E41,schedule,動/名：予定する/予定,schedule a meeting,会議を予定する,schedule,予定する,
E42,seek,動：探し求める,seek advice,助言を求める,seek,求める,
E43,submit,動：提出する,submit an application,申込書を提出する,submit,提出する,
E44,subscribe,動：定期購読する,subscribe to a magazine,雑誌を定期購読する,subscribe,定期購読する,
E45,substitute,動/名：代用する/代用品,substitute A for B,Bの代わりにAを使う,substitute,代わりに,
E46,succeed,動：成功する・後任になる,succeed in business,ビジネスで成功する,succeed,成功する,
E47,suggest,動：提案する,suggest an idea,アイデアを提案する,suggest,提案する,
E48,supply,動/名：供給する/供給,supply materials,材料を供給する,supply,供給する,
E49,transfer,動/名：移す・転勤する/転勤,transfer to a new office,新しいオフィスに転勤する,transfer,転勤する,
E50,update,動/名：更新する/最新情報,update a website,ウェブサイトを更新する,update,更新する,
E51,verify,動：確認する・証明する,verify information,情報を確認する,verify,確認する,
E52,accommodate,動：収容する・対応する,accommodate guests,客を収容する,accommodate,収容する,
E53,address,動/名：対処する・話しかける/住所,address a problem,問題に対処する,address,対処する,
E54,adjust,動：調整する,adjust a schedule,スケジュールを調整する,adjust,調整する,
E55,admit,動：認める,admit a mistake,間違いを認める,admit,認める,
E56,allocate,動：割り当てる,allocate funds,資金を割り当てる,allocate,割り当てる,
E57,alter,動：変更する,alter a plan,計画を変更する,alter,変更する,
E58,analyze,動：分析する,analyze data,データを分析する,analyze,分析する,
E59,anticipate,動：予期する,anticipate changes,変化を予測する,anticipate,予測する,
E60,apologize,動：謝罪する,apologize for the delay,遅れを謝罪する,apologize,謝罪する,
E61,approve,動：承認する,approve a request,要請を承認する,approve,承認する,
E62,assess,動：評価する,assess the damage,損害を評価する,assess,評価する,
E63,assign,動：割り当てる,assign a task,仕事を割り当てる,assign,割り当てる,
E64,assume,動：想定する・引き受ける,assume responsibility,責任を引き受ける,assume,引き受ける,
E65,attach,動：添付する,attach a file,ファイルを添付する,attach,添付する,
E66,attract,動：引きつける,attract customers,客を引きつける,attract,引きつける,
E67,avoid,動：避ける,avoid an error,間違いを避ける,avoid,避ける,
E68,award,動/名：授与する/賞,award a prize,賞を授与する,award,授与する,
E69,calculate,動：計算する,calculate the cost,費用を計算する,calculate,計算する,
E70,cancel,動：取り消す,cancel a flight,フライトをキャンセルする,cancel,キャンセルする,
E71,celebrate,動：祝う,celebrate an anniversary,記念日を祝う,celebrate,祝う,
E72,certify,動：証明する,certify a document,書類を証明する,certify,証明する,
E73,clarify,動：明確にする,clarify a point,点を明確にする,clarify,明確にする,
E74,collaborate,動：協力する,collaborate on a project,プロジェクトで協力する,collaborate,協力する,
E75,combine,動：組み合わせる,combine ideas,アイデアを組み合わせる,combine,組み合わせる,
E76,communicate,動：伝える・意思疎通する,communicate with staff,スタッフと意思疎通を図る,communicate,意思疎通を図る,
E77,compare,動：比較する,compare prices,価格を比較する,compare,比較する,
E78,compete,動：競争する,compete in a market,市場で競争する,compete,競争する,
E79,compile,動：まとめる・編集する,compile a list,リストをまとめる,compile,まとめる,
E80,complain,動：不満を言う,complain about the service,サービスについて苦情を言う,complain,苦情を言う,
E81,complete,動/形：完了させる/完全な,complete a form,用紙に記入する,complete,記入する,
E82,comply,動：従う,comply with regulations,規則に従う,comply,従う,
E83,concentrate,動：集中する,concentrate on work,仕事に集中する,concentrate,集中する,
E84,conclude,動：結論を下す・終わる,conclude a speech,スピーチを締めくくる,conclude,締めくくる,
E85,confirm,動：確認する,confirm a reservation,予約を確認する,confirm,確認する,
E86,connect,動：つなぐ,connect to the Internet,インターネットに接続する,connect,接続する,
E87,consider,動：よく考える,consider an offer,オファーを検討する,consider,検討する,
E88,consist,動：～から成る,consist of three parts,3つの部分から構成される,consist,構成される,
E89,consult,動：相談する,consult a doctor,医者に相談する,consult,相談する,
E90,consume,動：消費する,consume energy,エネルギーを消費する,consume,消費する,
E91,contact,動/名：連絡を取る/連絡先,contact a client,顧客に連絡する,contact,連絡する,
E92,contain,動：含む,contain important information,重要な情報を含む,contain,含む,
E93,contribute,動：貢献する・寄付する,contribute to society,社会に貢献する,contribute,貢献する,
E94,control,動/名：管理する/管理,control costs,コストを管理する,control,管理する,
E95,convince,動：納得させる,convince a customer,顧客を納得させる,convince,納得させる,
E96,coordinate,動：調整する,coordinate a schedule,スケジュールを調整する,coordinate,調整する,
E97,copy,動/名：コピーする/コピー,copy a document,書類をコピーする,copy,コピーする,
E98,correct,動/形：訂正する/正しい,correct an error,間違いを訂正する,correct,訂正する,
E99,cost,動/名：費用がかかる/費用,cost a lot of money,多くのお金がかかる,cost,かかる,
E100,create,動：創造する,create a design,デザインを作成する,create,作成する,